transaction_date,merchant_category,transaction_amount
2019-01-07,Gas Transport,12286.47
2019-01-07,Food Dining,7800.0
2019-01-07,Entertainment,10226.53
2019-01-07,Home,11702.23
2019-01-08,Travel,4127.82
2019-01-08,Shopping Pos,19538.2
2019-01-08,Shopping Net,17276.18
2019-01-08,Personal Care,7003.36
2019-01-08,Misc Pos,8453.210000000001
2019-01-08,Misc Net,7928.59
2019-01-08,Kids Pets,9826.86
2019-01-08,Home,11596.72
2019-01-08,Grocery Pos,21353.61
2019-01-08,Grocery Net,4207.88
2019-01-08,Gas Transport,11423.19
2019-01-08,Food Dining,6092.0
2019-01-08,Entertainment,8098.17
2019-01-08,Health Fitness,7120.9800000000005
2019-01-09,Misc Net,8998.43
2019-01-09,Travel,2719.4700000000003
2019-01-09,Shopping Pos,6514.68
2019-01-09,Shopping Net,13467.59
2019-01-09,Personal Care,3434.71
2019-01-09,Misc Pos,1466.98
2019-01-09,Kids Pets,4711.6
2019-01-09,Gas Transport,6008.58
2019-01-09,Health Fitness,2654.86
2019-01-09,Entertainment,3758.21
2019-01-09,Food Dining,3935.05
2019-01-09,Home,4780.73
2019-01-09,Grocery Net,2017.2
2019-01-09,Grocery Pos,9964.62
2019-01-10,Travel,2543.63
2019-01-10,Shopping Pos,11095.14
2019-01-10,Shopping Net,5942.32
2019-01-10,Personal Care,4501.08
2019-01-10,Misc Pos,3383.81
2019-01-10,Kids Pets,5869.98
2019-01-10,Misc Net,3886.74
2019-01-10,Health Fitness,5073.71
2019-01-10,Grocery Pos,10562.7
2019-01-10,Grocery Net,1684.13
2019-01-10,Gas Transport,6093.01
2019-01-10,Food Dining,4219.93
2019-01-10,Entertainment,5445.6900000000005
2019-01-10,Home,6401.01
2019-01-11,Misc Net,5897.13
2019-01-11,Travel,15166.11
2019-01-11,Shopping Pos,5726.67
2019-01-11,Shopping Net,8646.38
2019-01-11,Personal Care,3307.46
2019-01-11,Home,6584.8
2019-01-11,Misc Pos,5032.26
2019-01-11,Kids Pets,4665.1
2019-01-11,Grocery Pos,13217.34
2019-01-11,Grocery Net,2395.41
2019-01-11,Gas Transport,8796.24
2019-01-11,Food Dining,5044.01
2019-01-11,Entertainment,5296.55
2019-01-11,Health Fitness,4505.13
2019-01-12,Travel,4458.610000000001
2019-01-12,Shopping Pos,5867.9
2019-01-12,Shopping Net,5436.27
2019-01-12,Personal Care,4147.01
2019-01-12,Misc Pos,4779.56
2019-01-12,Misc Net,4748.9800000000005
2019-01-12,Kids Pets,6113.34
2019-01-12,Home,6162.68
2019-01-12,Grocery Pos,14320.92
2019-01-12,Grocery Net,2531.38
2019-01-12,Gas Transport,7298.79
2019-01-12,Food Dining,4433.36
2019-01-12,Entertainment,4991.21
2019-01-12,Health Fitness,5519.01
2019-01-13,Travel,3409.89
2019-01-13,Shopping Pos,10433.62
2019-01-13,Shopping Net,17217.96
2019-01-13,Personal Care,4840.25
2019-01-13,Misc Pos,5400.49
2019-01-13,Misc Net,9982.71
2019-01-13,Kids Pets,8013.73
2019-01-13,Home,10013.9
2019-01-13,Grocery Pos,19148.64
2019-01-13,Entertainment,7600.18
2019-01-13,Food Dining,5878.83
2019-01-13,Health Fitness,6189.6
2019-01-13,Grocery Net,3063.1
2019-01-13,Gas Transport,11031.95
2019-01-14,Travel,6809.5
2019-01-14,Shopping Pos,16545.48
2019-01-14,Shopping Net,15289.82
2019-01-14,Personal Care,5944.71
2019-01-14,Misc Net,7437.51
2019-01-14,Home,12603.36
2019-01-14,Misc Pos,9274.08
2019-01-14,Grocery Pos,21831.77
2019-01-14,Grocery Net,4039.03
2019-01-14,Gas Transport,12034.47
2019-01-14,Food Dining,6538.16
2019-01-14,Entertainment,13768.9
2019-01-14,Health Fitness,8111.89
2019-01-14,Kids Pets,9426.66
2019-01-15,Kids Pets,9099.62
2019-01-15,Travel,9504.42
2019-01-15,Shopping Pos,18408.37
2019-01-15,Shopping Net,23980.81
2019-01-15,Personal Care,5882.06
2019-01-15,Misc Pos,5217.44
2019-01-15,Misc Net,9287.1
2019-01-15,Home,11909.37
2019-01-15,Grocery Pos,20759.43
2019-01-15,Grocery Net,4781.93
2019-01-15,Gas Transport,11686.47
2019-01-15,Food Dining,8976.78
2019-01-15,Entertainment,11727.68
2019-01-15,Health Fitness,7921.84
2019-01-16,Travel,2303.34
2019-01-16,Shopping Pos,13450.189999999999
2019-01-16,Shopping Net,11137.02
2019-01-16,Personal Care,2490.56
2019-01-16,Misc Pos,3154.44
2019-01-16,Misc Net,6231.03
2019-01-16,Kids Pets,5434.28
2019-01-16,Home,5932.85
2019-01-16,Grocery Pos,14087.08
2019-01-16,Grocery Net,2034.49
2019-01-16,Gas Transport,5644.3
2019-01-16,Food Dining,2917.15
2019-01-16,Entertainment,5152.88
2019-01-16,Health Fitness,3548.65
2019-01-17,Misc Net,3231.49
2019-01-17,Travel,1133.36
2019-01-17,Shopping Pos,9633.39
2019-01-17,Shopping Net,9485.64
2019-01-17,Personal Care,3293.82
2019-01-17,Kids Pets,5070.6
2019-01-17,Misc Pos,5541.38
2019-01-17,Health Fitness,3777.1
2019-01-17,Grocery Pos,13378.96
2019-01-17,Home,5372.14
2019-01-17,Grocery Net,1780.53
2019-01-17,Gas Transport,5769.22
2019-01-17,Food Dining,4089.7400000000002
2019-01-17,Entertainment,6611.29
2019-01-18,Travel,2096.37
2019-01-18,Shopping Pos,10468.73
2019-01-18,Shopping Net,9978.789999999999
2019-01-18,Personal Care,3567.89
2019-01-18,Misc Pos,5355.22
2019-01-18,Misc Net,2447.29
2019-01-18,Kids Pets,6024.42
2019-01-18,Home,6092.02
2019-01-18,Health Fitness,3740.59
2019-01-18,Grocery Pos,11068.49
2019-01-18,Grocery Net,2616.27
2019-01-18,Gas Transport,7680.58
2019-01-18,Food Dining,4571.38
2019-01-18,Entertainment,4578.650000000001
2019-01-19,Travel,2106.49
2019-01-19,Shopping Pos,7877.990000000001
2019-01-19,Shopping Net,11812.63
2019-01-19,Personal Care,3585.0499999999997
2019-01-19,Misc Pos,3989.7999999999997
2019-01-19,Misc Net,7459.36
2019-01-19,Kids Pets,6060.57
2019-01-19,Home,6185.44
2019-01-19,Health Fitness,4498.28
2019-01-19,Grocery Pos,14323.41
2019-01-19,Grocery Net,2341.67
2019-01-19,Gas Transport,7381.03
2019-01-19,Food Dining,3715.7
2019-01-19,Entertainment,5744.24
2019-01-20,Travel,5203.13
2019-01-20,Shopping Pos,11208.92
2019-01-20,Shopping Net,18991.62
2019-01-20,Personal Care,5440.32
2019-01-20,Misc Pos,5283.81
2019-01-20,Misc Net,8757.48
2019-01-20,Kids Pets,8785.43
2019-01-20,Health Fitness,5254.45
2019-01-20,Grocery Pos,18316.63
2019-01-20,Grocery Net,2854.92
2019-01-20,Gas Transport,10039.92
2019-01-20,Food Dining,6729.59
2019-01-20,Entertainment,8523.27
2019-01-20,Home,7678.68
2019-01-21,Misc Net,9021.57
2019-01-21,Travel,3239.84
2019-01-21,Shopping Pos,18475.24
2019-01-21,Shopping Net,18310.15
2019-01-21,Personal Care,7230.2
2019-01-21,Misc Pos,7470.21
2019-01-21,Kids Pets,11868.8
2019-01-21,Home,10996.949999999999
2019-01-21,Health Fitness,7630.67
2019-01-21,Grocery Pos,19076.71
2019-01-21,Grocery Net,4120.17
2019-01-21,Gas Transport,11394.44
2019-01-21,Food Dining,6261.44
2019-01-21,Entertainment,11067.91
2019-01-22,Travel,18374.97
2019-01-22,Shopping Pos,11724.03
2019-01-22,Shopping Net,18025.78
2019-01-22,Personal Care,6339.32
2019-01-22,Misc Pos,5277.62
2019-01-22,Misc Net,4609.87
2019-01-22,Kids Pets,9006.05
2019-01-22,Health Fitness,7664.72
2019-01-22,Grocery Pos,21886.87
2019-01-22,Grocery Net,3418.24
2019-01-22,Gas Transport,11827.85
2019-01-22,Food Dining,8212.65
2019-01-22,Entertainment,8538.57
2019-01-22,Home,9552.72
2019-01-23,Misc Net,3947.46
2019-01-23,Travel,1738.92
2019-01-23,Shopping Pos,4469.39
2019-01-23,Shopping Net,8823.61
2019-01-23,Personal Care,3367.18
2019-01-23,Misc Pos,2947.44
2019-01-23,Kids Pets,4417.74
2019-01-23,Home,5573.61
2019-01-23,Health Fitness,3205.94
2019-01-23,Grocery Pos,10061.15
2019-01-23,Grocery Net,1577.15
2019-01-23,Gas Transport,7276.86
2019-01-23,Food Dining,2359.02
2019-01-23,Entertainment,2331.58
2019-01-24,Travel,1749.85
2019-01-24,Shopping Pos,6143.03
2019-01-24,Shopping Net,5893.61
2019-01-24,Personal Care,3236.96
2019-01-24,Misc Pos,2482.22
2019-01-24,Misc Net,3128.32
2019-01-24,Kids Pets,5501.17
2019-01-24,Home,5934.38
2019-01-24,Health Fitness,4649.94
2019-01-24,Grocery Pos,12425.79
2019-01-24,Grocery Net,2313.87
2019-01-24,Gas Transport,6113.18
2019-01-24,Food Dining,4853.31
2019-01-24,Entertainment,3507.95
2019-01-25,Shopping Pos,2564.7599999999998
2019-01-25,Shopping Net,3485.09
2019-01-25,Personal Care,3598.28
2019-01-25,Misc Pos,3473.1
2019-01-25,Misc Net,4066.6
2019-01-25,Kids Pets,5749.51
2019-01-25,Travel,4053.89
2019-01-25,Health Fitness,4081.02
2019-01-25,Grocery Pos,10512.57
2019-01-25,Grocery Net,1717.01
2019-01-25,Gas Transport,6503.7
2019-01-25,Food Dining,3849.07
2019-01-25,Entertainment,5992.04
2019-01-25,Home,7388.04
2019-01-26,Travel,8978.710000000001
2019-01-26,Shopping Pos,4554.97
2019-01-26,Shopping Net,5740.27
2019-01-26,Personal Care,3158.1
2019-01-26,Misc Pos,4174.01
2019-01-26,Misc Net,5155.53
2019-01-26,Kids Pets,4791.98
2019-01-26,Home,7490.63
2019-01-26,Health Fitness,5165.82
2019-01-26,Grocery Pos,13458.78
2019-01-26,Grocery Net,2109.89
2019-01-26,Gas Transport,7621.26
2019-01-26,Food Dining,4732.02
2019-01-26,Entertainment,6797.63
2019-01-27,Travel,2093.65
2019-01-27,Shopping Pos,14630.529999999999
2019-01-27,Shopping Net,7874.58
2019-01-27,Personal Care,6361.39
2019-01-27,Misc Pos,5042.06
2019-01-27,Misc Net,5338.44
2019-01-27,Kids Pets,6547.01
2019-01-27,Home,9939.95
2019-01-27,Health Fitness,6303.87
2019-01-27,Grocery Pos,19395.21
2019-01-27,Grocery Net,2675.2799999999997
2019-01-27,Gas Transport,12242.25
2019-01-27,Food Dining,5807.09
2019-01-27,Entertainment,8440.48
2019-01-28,Travel,7747.43
2019-01-28,Shopping Pos,13670.47
2019-01-28,Shopping Net,15033.7
2019-01-28,Personal Care,7343.31
2019-01-28,Misc Pos,9898.76
2019-01-28,Misc Net,9550.130000000001
2019-01-28,Kids Pets,9568.27
2019-01-28,Home,11900.039999999999
2019-01-28,Health Fitness,7318.58
2019-01-28,Grocery Pos,19233.32
2019-01-28,Grocery Net,3484.38
2019-01-28,Gas Transport,13695.46
2019-01-28,Food Dining,6413.63
2019-01-28,Entertainment,9059.77
2019-01-29,Shopping Pos,16570.34
2019-01-29,Shopping Net,10463.6
2019-01-29,Personal Care,6357.04
2019-01-29,Misc Pos,6970.39
2019-01-29,Misc Net,8418.86
2019-01-29,Kids Pets,10137.2
2019-01-29,Travel,8576.42
2019-01-29,Health Fitness,8107.11
2019-01-29,Grocery Pos,22318.54
2019-01-29,Grocery Net,2333.18
2019-01-29,Gas Transport,12492.65
2019-01-29,Food Dining,6480.92
2019-01-29,Entertainment,10076.39
2019-01-29,Home,10258.92
2019-01-30,Travel,2456.3
2019-01-30,Shopping Pos,7482.41
2019-01-30,Shopping Net,7187.4400000000005
2019-01-30,Personal Care,1892.66
2019-01-30,Misc Pos,2727.7799999999997
2019-01-30,Misc Net,2851.92
2019-01-30,Kids Pets,5151.21
2019-01-30,Home,4697.0599999999995
2019-01-30,Health Fitness,4084.2599999999998
2019-01-30,Grocery Pos,10849.31
2019-01-30,Grocery Net,1454.81
2019-01-30,Gas Transport,6122.11
2019-01-30,Food Dining,2842.91
2019-01-30,Entertainment,4438.35
2019-01-31,Shopping Pos,9908.01
2019-01-31,Shopping Net,6635.75
2019-01-31,Personal Care,3507.18
2019-01-31,Misc Pos,3477.34
2019-01-31,Misc Net,7258.08
2019-01-31,Kids Pets,4938.89
2019-01-31,Travel,556.83
2019-01-31,Health Fitness,3451.89
2019-01-31,Grocery Pos,11950.04
2019-01-31,Grocery Net,1952.48
2019-01-31,Gas Transport,6523.36
2019-01-31,Food Dining,3356.62
2019-01-31,Entertainment,5809.7
2019-01-31,Home,4908.99
2019-02-01,Shopping Pos,7814.01
2019-02-01,Shopping Net,13268.16
2019-02-01,Personal Care,4573.9
2019-02-01,Misc Pos,6035.1900000000005
2019-02-01,Misc Net,3825.62
2019-02-01,Kids Pets,6159.55
2019-02-01,Travel,2311.49
2019-02-01,Health Fitness,4379.89
2019-02-01,Grocery Pos,13650.89
2019-02-01,Grocery Net,2880.23
2019-02-01,Gas Transport,8589.61
2019-02-01,Food Dining,5193.55
2019-02-01,Entertainment,4476.13
2019-02-01,Home,6627.48
2019-02-02,Travel,2068.7999999999997
2019-02-02,Shopping Pos,6825.39
2019-02-02,Shopping Net,13402.14
2019-02-02,Personal Care,3864.5
2019-02-02,Misc Pos,5050.46
2019-02-02,Misc Net,6144.45
2019-02-02,Kids Pets,5458.52
2019-02-02,Home,6286.43
2019-02-02,Grocery Pos,13374.18
2019-02-02,Grocery Net,2401.48
2019-02-02,Gas Transport,8694.79
2019-02-02,Food Dining,3769.03
2019-02-02,Entertainment,5347.12
2019-02-02,Health Fitness,4267.43
2019-02-03,Misc Net,8201.63
2019-02-03,Travel,2546.99
2019-02-03,Shopping Pos,13282.859999999999
2019-02-03,Shopping Net,18757.4
2019-02-03,Misc Pos,7142.05
2019-02-03,Kids Pets,7015.44
2019-02-03,Personal Care,6468.04
2019-02-03,Health Fitness,6217.6
2019-02-03,Entertainment,7106.36
2019-02-03,Food Dining,6302.7
2019-02-03,Gas Transport,10071.4
2019-02-03,Home,10375.89
2019-02-03,Grocery Net,2711.07
2019-02-03,Grocery Pos,20222.53
2019-02-04,Travel,18680.0
2019-02-04,Shopping Pos,21097.579999999998
2019-02-04,Shopping Net,10378.19
2019-02-04,Personal Care,7650.95
2019-02-04,Misc Pos,5978.91
2019-02-04,Kids Pets,9870.75
2019-02-04,Misc Net,7700.93
2019-02-04,Health Fitness,7767.59
2019-02-04,Grocery Pos,21096.15
2019-02-04,Grocery Net,4109.32
2019-02-04,Gas Transport,11991.07
2019-02-04,Food Dining,7021.63
2019-02-04,Entertainment,12027.28
2019-02-04,Home,11924.36
2019-02-05,Misc Pos,8393.41
2019-02-05,Travel,1310.94
2019-02-05,Shopping Pos,14356.21
2019-02-05,Shopping Net,10489.87
2019-02-05,Personal Care,4939.38
2019-02-05,Kids Pets,8820.33
2019-02-05,Misc Net,7259.44
2019-02-05,Health Fitness,6338.7300000000005
2019-02-05,Grocery Pos,20759.7
2019-02-05,Grocery Net,4109.86
2019-02-05,Gas Transport,11461.45
2019-02-05,Food Dining,7102.66
2019-02-05,Entertainment,9824.98
2019-02-05,Home,12186.95
2019-02-06,Travel,4513.99
2019-02-06,Shopping Pos,8613.46
2019-02-06,Shopping Net,8990.09
2019-02-06,Personal Care,2213.19
2019-02-06,Misc Pos,3698.27
2019-02-06,Misc Net,5494.139999999999
2019-02-06,Kids Pets,3637.84
2019-02-06,Home,5540.02
2019-02-06,Grocery Pos,11910.54
2019-02-06,Grocery Net,1699.9
2019-02-06,Gas Transport,5941.06
2019-02-06,Food Dining,3203.15
2019-02-06,Entertainment,4786.27
2019-02-06,Health Fitness,2606.63
2019-02-07,Misc Pos,4066.09
2019-02-07,Travel,2247.41
2019-02-07,Shopping Pos,11196.89
2019-02-07,Shopping Net,10749.6
2019-02-07,Personal Care,3225.43
2019-02-07,Kids Pets,5667.48
2019-02-07,Misc Net,6467.5
2019-02-07,Health Fitness,3651.91
2019-02-07,Entertainment,4770.04
2019-02-07,Food Dining,3623.85
2019-02-07,Gas Transport,5598.9800000000005
2019-02-07,Home,6536.33
2019-02-07,Grocery Pos,16491.64
2019-02-07,Grocery Net,1728.1399999999999
2019-02-08,Travel,2873.52
2019-02-08,Shopping Pos,5809.67
2019-02-08,Shopping Net,9906.42
2019-02-08,Personal Care,4036.17
2019-02-08,Misc Net,6585.99
2019-02-08,Kids Pets,5216.28
2019-02-08,Misc Pos,6014.11
2019-02-08,Health Fitness,5526.15
2019-02-08,Grocery Pos,15486.2
2019-02-08,Grocery Net,2042.32
2019-02-08,Gas Transport,7473.21
2019-02-08,Food Dining,4289.65
2019-02-08,Entertainment,5569.53
2019-02-08,Home,6453.24
2019-02-09,Travel,8801.75
2019-02-09,Shopping Pos,11240.77
2019-02-09,Shopping Net,7308.57
2019-02-09,Personal Care,5137.55
2019-02-09,Misc Pos,7543.74
2019-02-09,Misc Net,3397.0
2019-02-09,Kids Pets,6151.51
2019-02-09,Home,7631.35
2019-02-09,Grocery Pos,11638.09
2019-02-09,Grocery Net,1961.76
2019-02-09,Gas Transport,7902.13
2019-02-09,Food Dining,4088.49
2019-02-09,Entertainment,5458.06
2019-02-09,Health Fitness,4029.93
2019-02-10,Travel,3680.0099999999998
2019-02-10,Shopping Pos,10890.58
2019-02-10,Shopping Net,10472.16
2019-02-10,Personal Care,5163.21
2019-02-10,Misc Pos,7978.98
2019-02-10,Misc Net,5552.37
2019-02-10,Kids Pets,9666.14
2019-02-10,Home,7188.07
2019-02-10,Grocery Pos,16730.92
2019-02-10,Grocery Net,3973.32
2019-02-10,Gas Transport,10928.25
2019-02-10,Food Dining,5792.32
2019-02-10,Entertainment,7902.46
2019-02-10,Health Fitness,5960.54
2019-02-11,Misc Net,6456.51
2019-02-11,Shopping Pos,11117.81
2019-02-11,Shopping Net,18575.02
2019-02-11,Personal Care,5829.2
2019-02-11,Misc Pos,7251.88
2019-02-11,Kids Pets,9481.87
2019-02-11,Travel,6933.3
2019-02-11,Health Fitness,6672.66
2019-02-11,Grocery Pos,20770.49
2019-02-11,Grocery Net,3043.36
2019-02-11,Gas Transport,14149.81
2019-02-11,Food Dining,6576.06
2019-02-11,Entertainment,10982.11
2019-02-11,Home,9266.93
2019-02-12,Travel,3715.29
2019-02-12,Shopping Pos,16600.44
2019-02-12,Shopping Net,15766.960000000001
2019-02-12,Personal Care,8754.039999999999
2019-02-12,Misc Pos,6630.91
2019-02-12,Misc Net,10195.01
2019-02-12,Kids Pets,11403.92
2019-02-12,Gas Transport,12819.41
2019-02-12,Health Fitness,6342.33
2019-02-12,Grocery Pos,24582.89
2019-02-12,Grocery Net,3504.72
2019-02-12,Home,13005.63
2019-02-12,Food Dining,5580.68
2019-02-12,Entertainment,8293.33
2019-02-13,Shopping Pos,5901.36
2019-02-13,Shopping Net,15131.93
2019-02-13,Personal Care,2495.45
2019-02-13,Misc Pos,5595.84
2019-02-13,Misc Net,6286.33
2019-02-13,Kids Pets,4558.63
2019-02-13,Travel,3887.8900000000003
2019-02-13,Health Fitness,3809.56
2019-02-13,Grocery Pos,9473.69
2019-02-13,Grocery Net,2067.41
2019-02-13,Gas Transport,6539.55
2019-02-13,Food Dining,4455.15
2019-02-13,Entertainment,4875.4800000000005
2019-02-13,Home,4488.32
2019-02-14,Travel,5252.59
2019-02-14,Shopping Pos,5713.95
2019-02-14,Shopping Net,4033.18
2019-02-14,Personal Care,3666.81
2019-02-14,Misc Pos,3452.65
2019-02-14,Misc Net,5268.1900000000005
2019-02-14,Kids Pets,5670.08
2019-02-14,Home,5414.5
2019-02-14,Grocery Pos,12168.49
2019-02-14,Grocery Net,2144.53
2019-02-14,Gas Transport,6665.04
2019-02-14,Food Dining,3594.32
2019-02-14,Entertainment,5195.26
2019-02-14,Health Fitness,3465.67
2019-02-15,Misc Net,3703.73
2019-02-15,Shopping Pos,6056.0199999999995
2019-02-15,Shopping Net,6596.74
2019-02-15,Personal Care,4534.57
2019-02-15,Misc Pos,4967.35
2019-02-15,Kids Pets,7642.97
2019-02-15,Travel,3367.92
2019-02-15,Health Fitness,4207.99
2019-02-15,Grocery Pos,12470.95
2019-02-15,Grocery Net,2112.52
2019-02-15,Gas Transport,7525.0
2019-02-15,Food Dining,5093.46
2019-02-15,Entertainment,4711.6900000000005
2019-02-15,Home,6139.81
2019-02-16,Travel,7561.49
2019-02-16,Shopping Pos,7855.81
2019-02-16,Shopping Net,5676.37
2019-02-16,Personal Care,4466.93
2019-02-16,Misc Pos,4323.15
2019-02-16,Misc Net,4054.54
2019-02-16,Kids Pets,6221.49
2019-02-16,Home,6754.17
2019-02-16,Health Fitness,5890.3
2019-02-16,Grocery Pos,13870.289999999999
2019-02-16,Grocery Net,1909.17
2019-02-16,Gas Transport,7762.42
2019-02-16,Food Dining,4032.7000000000003
2019-02-16,Entertainment,4464.81
2019-02-17,Shopping Pos,10659.3
2019-02-17,Shopping Net,14934.21
2019-02-17,Personal Care,6040.34
2019-02-17,Misc Pos,6290.530000000001
2019-02-17,Misc Net,5857.49
2019-02-17,Kids Pets,7461.71
2019-02-17,Travel,3585.4300000000003
2019-02-17,Health Fitness,6961.99
2019-02-17,Grocery Pos,17605.46
2019-02-17,Grocery Net,3519.58
2019-02-17,Gas Transport,11463.57
2019-02-17,Food Dining,6281.62
2019-02-17,Entertainment,8678.789999999999
2019-02-17,Home,9647.84
2019-02-18,Travel,5047.62
2019-02-18,Shopping Pos,11158.58
2019-02-18,Shopping Net,11890.76
2019-02-18,Personal Care,6622.56
2019-02-18,Misc Pos,10729.65
2019-02-18,Misc Net,6306.75
2019-02-18,Kids Pets,10153.0
2019-02-18,Home,9301.09
2019-02-18,Grocery Pos,26264.1
2019-02-18,Grocery Net,3338.34
2019-02-18,Gas Transport,14607.34
2019-02-18,Food Dining,7781.03
2019-02-18,Entertainment,8147.52
2019-02-18,Health Fitness,8310.05
2019-02-19,Travel,3137.5099999999998
2019-02-19,Shopping Pos,15417.98
2019-02-19,Shopping Net,13851.630000000001
2019-02-19,Personal Care,7352.3
2019-02-19,Misc Pos,5689.16
2019-02-19,Misc Net,3109.14
2019-02-19,Kids Pets,10638.19
2019-02-19,Health Fitness,6851.4
2019-02-19,Grocery Pos,25799.69
2019-02-19,Grocery Net,3504.85
2019-02-19,Gas Transport,12719.92
2019-02-19,Food Dining,5666.97
2019-02-19,Entertainment,8022.85
2019-02-19,Home,10828.6
2019-02-20,Kids Pets,5619.55
2019-02-20,Shopping Pos,3964.29
2019-02-20,Shopping Net,4091.41
2019-02-20,Personal Care,3403.62
2019-02-20,Misc Pos,2525.52
2019-02-20,Misc Net,2037.31
2019-02-20,Travel,3298.39
2019-02-20,Home,5433.38
2019-02-20,Grocery Pos,8128.1
2019-02-20,Grocery Net,1599.41
2019-02-20,Gas Transport,6794.83
2019-02-20,Food Dining,3526.71
2019-02-20,Entertainment,4082.39
2019-02-20,Health Fitness,3771.38
2019-02-21,Travel,3121.87
2019-02-21,Shopping Pos,9215.8
2019-02-21,Shopping Net,6680.52
2019-02-21,Personal Care,3821.1
2019-02-21,Misc Pos,4037.95
2019-02-21,Misc Net,5886.12
2019-02-21,Kids Pets,4283.84
2019-02-21,Health Fitness,4075.91
2019-02-21,Grocery Pos,10233.47
2019-02-21,Grocery Net,2181.19
2019-02-21,Gas Transport,6278.35
2019-02-21,Food Dining,3650.4
2019-02-21,Entertainment,5128.83
2019-02-21,Home,5828.0
2019-02-22,Misc Net,3635.7
2019-02-22,Travel,218.51
2019-02-22,Shopping Pos,8274.12
2019-02-22,Shopping Net,4426.07
2019-02-22,Personal Care,3249.16
2019-02-22,Misc Pos,3863.67
2019-02-22,Kids Pets,6253.04
2019-02-22,Entertainment,4232.04
2019-02-22,Health Fitness,4510.2
2019-02-22,Grocery Pos,14135.68
2019-02-22,Grocery Net,2354.12
2019-02-22,Gas Transport,7211.01
2019-02-22,Food Dining,5662.5
2019-02-22,Home,6179.26
2019-02-23,Misc Net,5095.48
2019-02-23,Travel,2421.1600000000003
2019-02-23,Shopping Pos,9180.0
2019-02-23,Shopping Net,10571.300000000001
2019-02-23,Personal Care,4259.85
2019-02-23,Misc Pos,4121.2
2019-02-23,Kids Pets,7396.16
2019-02-23,Entertainment,5043.38
